time,lasttime,lat,lng,speed,course,altitude,comment
2017-12-02 15:46:54,2017-12-02 15:46:54,40.32067,-76.41050,20,286,393.50,"549 20.3C 97849 727"
2017-12-02 15:47:55,2017-12-02 15:47:55,40.32317,-76.41100,26,8,661.42,"610 20.4C 94577 725"
2017-12-02 15:48:56,2017-12-02 15:48:56,40.32583,-76.41000,28,4,959.51,"672 20.5C 91205 734"
2017-12-02 15:49:57,2017-12-02 15:49:57,40.32883,-76.40867,30,35,1258.52,"733 20.5C 87770 748"
2017-12-02 15:50:58,2017-12-02 15:50:58,40.33050,-76.40367,19,66,1559.66,"794 20.4C 84586 726"
2017-12-02 15:51:59,2017-12-02 15:51:59,40.33050,-76.39600,44,88,1876.96,"855 20.2C 81354 749"
2017-12-02 15:53:01,2017-12-02 15:53:01,40.33100,-76.38967,22,101,2172.00,"916 20.0C 78343 749"
2017-12-02 15:54:02,2017-12-02 15:54:02,40.33133,-76.38450,26,72,2490.22,"978 19.7C 75296 757"
2017-12-02 15:55:03,2017-12-02 15:55:39,40.33250,-76.37750,50,79,2808.73,"1039 19.6C 72287 756"
2017-12-02 15:56:04,2017-12-02 15:56:04,40.33467,-76.36883,50,63,3139.74,"1100 19.4C 69373 759"
2017-12-02 15:57:05,2017-12-02 15:57:05,40.33633,-76.35900,63,89,3472.59,"1161 19.3C 66559 779"
2017-12-02 15:58:06,2017-12-02 15:58:06,40.33783,-76.34783,48,91,3791.71,"1222 19.0C 63850 792"
2017-12-02 15:59:08,2017-12-02 15:59:08,40.33933,-76.33700,54,75,4129.43,"1283 18.8C 61176 816"
2017-12-02 16:00:09,2017-12-02 16:00:09,40.34000,-76.32700,67,78,4445.20,"1345 18.5C 58693 829"
2017-12-02 16:01:10,2017-12-02 16:01:10,40.34167,-76.31517,70,76,4757.01,"1406 18.2C 56371 842"
2017-12-02 16:02:11,2017-12-02 16:02:11,40.34383,-76.30450,44,94,5076.75,"1467 17.7C 53997 853"
2017-12-02 16:03:12,2017-12-02 16:03:12,40.34500,-76.29233,56,93,5421.48,"1528 17.2C 51599 855"
2017-12-02 16:04:13,2017-12-02 16:04:13,40.34600,-76.27967,72,83,5772.00,"1589 16.6C 49277 885"
2017-12-02 16:05:15,2017-12-02 16:05:15,40.34800,-76.26583,85,78,6108.80,"1650 16.1C 47044 887"
2017-12-02 16:06:16,2017-12-02 16:06:16,40.35200,-76.24850,76,65,6460.54,"1712 15.4C 44892 908"
2017-12-02 16:08:18,2017-12-02 16:08:18,40.36183,-76.21583,81,71,7153.66,"1834 14.0C 40778 923"
2017-12-02 16:09:19,2017-12-02 16:09:19,40.36600,-76.20017,69,75,7481.93,"1895 13.3C 38976 937"
2017-12-02 16:10:20,2017-12-02 16:10:20,40.37033,-76.18533,85,60,7791.91,"1956 12.5C 37253 945"
2017-12-02 16:11:22,2017-12-02 16:11:22,40.37483,-76.17000,98,61,8127.19,"2017 11.6C 35535 947"
2017-12-02 16:21:33,2017-12-02 16:21:33,40.41033,-75.98667,111,69,11277.60,"2629 0.9C 22034 995"
2017-12-02 16:22:34,2017-12-02 16:22:34,40.41317,-75.96383,120,84,11586.97,"2690 -0.3C 20944 1000"
2017-12-02 16:24:37,2017-12-02 16:24:37,40.41417,-75.91583,126,91,12166.40,"2812 -2.6C 19071 1000"
2017-12-02 16:26:39,2017-12-02 16:26:39,40.41067,-75.86433,137,91,12771.42,"2935 -4.9C 17322 990"
2017-12-02 16:27:40,2017-12-02 16:27:40,40.40883,-75.84083,113,104,13070.74,"2996 -5.9C 16516 984"
2017-12-02 16:28:41,2017-12-02 16:28:41,40.40767,-75.81583,133,91,13322.20,"3057 -7.0C 15889 983"
2017-12-02 16:29:42,2017-12-02 16:29:42,40.40450,-75.79133,104,108,13570.00,"3118 -7.9C 15248 986"
2017-12-02 16:31:45,2017-12-02 16:31:45,40.39767,-75.75033,83,101,14095.17,"3241 -9.5C 14061 982"
2017-12-02 16:32:46,2017-12-02 16:32:46,40.39783,-75.72967,119,79,14336.88,"3302 -10.2C 13536 983"
2017-12-02 16:33:47,2017-12-02 16:33:47,40.39900,-75.70500,148,87,14574.93,"3363 -10.9C 13041 988"
2017-12-02 16:34:48,2017-12-02 16:34:48,40.39800,-75.67883,119,100,14824.56,"3424 -11.5C 12517 985"
2017-12-02 16:35:49,2017-12-02 16:35:49,40.39367,-75.65617,115,104,15099.18,"3485 -12.0C 11995 982"
2017-12-02 16:36:51,2017-12-02 16:36:51,40.39167,-75.63467,137,99,15358.57,"3547 -12.6C 11510 984"
